ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName,clstlist,lun_name
10.42.178.21,virt-gs2prod-cluster01-pm01,virt-gs2prod-cluster01-pm01.virt.onkakao.net,gs,virt-gs2prod-cluster01,virt-gs2prod-cluster01-pm01-datastore00,10.42.176.21,10.42.177.21,10.42.176.151,10.42.177.151,10.42.176.181,10.42.177.181,10.42.179.21,/vmfs/volumes/virt-gs2prod-cluster01-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster01,virt-gs2prod-cluster01-lun01
10.42.178.22,virt-gs2prod-cluster01-pm02,virt-gs2prod-cluster01-pm02.virt.onkakao.net,gs,virt-gs2prod-cluster01,virt-gs2prod-cluster01-pm02-datastore00,10.42.176.22,10.42.177.22,10.42.176.151,10.42.177.151,10.42.176.181,10.42.177.181,10.42.179.22,/vmfs/volumes/virt-gs2prod-cluster02-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster02,virt-gs2prod-cluster01-lun02
10.42.178.23,virt-gs2prod-cluster01-pm03,virt-gs2prod-cluster01-pm03.virt.onkakao.net,gs,virt-gs2prod-cluster01,virt-gs2prod-cluster01-pm03-datastore00,10.42.176.23,10.42.177.23,10.42.176.151,10.42.177.151,10.42.176.181,10.42.177.181,10.42.179.23,/vmfs/volumes/virt-gs2prod-cluster03-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster03,virt-gs2prod-cluster01-lun03
10.42.178.24,virt-gs2prod-cluster01-pm04,virt-gs2prod-cluster01-pm04.virt.onkakao.net,gs,virt-gs2prod-cluster01,virt-gs2prod-cluster01-pm04-datastore00,10.42.176.24,10.42.177.24,10.42.176.151,10.42.177.151,10.42.176.181,10.42.177.181,10.42.179.24,/vmfs/volumes/virt-gs2prod-cluster04-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster04,virt-gs2prod-cluster01-lun04
10.42.178.25,virt-gs2prod-cluster02-pm01,virt-gs2prod-cluster02-pm01.virt.onkakao.net,gs,virt-gs2prod-cluster02,virt-gs2prod-cluster02-pm01-datastore00,10.42.176.25,10.42.177.25,10.42.176.152,10.42.177.152,10.42.176.182,10.42.177.182,10.42.179.25,/vmfs/volumes/virt-gs2prod-cluster05-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster05,virt-gs2prod-cluster02-lun01
10.42.178.26,virt-gs2prod-cluster02-pm02,virt-gs2prod-cluster02-pm02.virt.onkakao.net,gs,virt-gs2prod-cluster02,virt-gs2prod-cluster02-pm02-datastore00,10.42.176.26,10.42.177.26,10.42.176.152,10.42.177.152,10.42.176.182,10.42.177.182,10.42.179.26,/vmfs/volumes/virt-gs2prod-cluster06-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster06,virt-gs2prod-cluster02-lun02
10.42.178.27,virt-gs2prod-cluster02-pm03,virt-gs2prod-cluster02-pm03.virt.onkakao.net,gs,virt-gs2prod-cluster02,virt-gs2prod-cluster02-pm03-datastore00,10.42.176.27,10.42.177.27,10.42.176.152,10.42.177.152,10.42.176.182,10.42.177.182,10.42.179.27,/vmfs/volumes/virt-gs2prod-cluster07-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster07,virt-gs2prod-cluster02-lun03
10.42.178.28,virt-gs2prod-cluster02-pm04,virt-gs2prod-cluster02-pm04.virt.onkakao.net,gs,virt-gs2prod-cluster02,virt-gs2prod-cluster02-pm04-datastore00,10.42.176.28,10.42.177.28,10.42.176.152,10.42.177.152,10.42.176.182,10.42.177.182,10.42.179.28,/vmfs/volumes/virt-gs2prod-cluster08-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster08,virt-gs2prod-cluster02-lun04
10.42.178.29,virt-gs2prod-cluster03-pm01,virt-gs2prod-cluster03-pm01.virt.onkakao.net,gs,virt-gs2prod-cluster03,virt-gs2prod-cluster03-pm01-datastore00,10.42.176.29,10.42.177.29,10.42.176.153,10.42.177.153,10.42.176.183,10.42.177.183,10.42.179.29,/vmfs/volumes/virt-gs2prod-cluster09-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster09,virt-gs2prod-cluster03-lun01
10.42.178.30,virt-gs2prod-cluster03-pm02,virt-gs2prod-cluster03-pm02.virt.onkakao.net,gs,virt-gs2prod-cluster03,virt-gs2prod-cluster03-pm02-datastore00,10.42.176.30,10.42.177.30,10.42.176.153,10.42.177.153,10.42.176.183,10.42.177.183,10.42.179.30,/vmfs/volumes/virt-gs2prod-cluster10-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster10,virt-gs2prod-cluster03-lun02
10.42.178.31,virt-gs2prod-cluster03-pm03,virt-gs2prod-cluster03-pm03.virt.onkakao.net,gs,virt-gs2prod-cluster03,virt-gs2prod-cluster03-pm03-datastore00,10.42.176.31,10.42.177.31,10.42.176.153,10.42.177.153,10.42.176.183,10.42.177.183,10.42.179.31,/vmfs/volumes/virt-gs2prod-cluster11-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster11,virt-gs2prod-cluster03-lun03
10.42.178.32,virt-gs2prod-cluster03-pm04,virt-gs2prod-cluster03-pm04.virt.onkakao.net,gs,virt-gs2prod-cluster03,virt-gs2prod-cluster03-pm04-datastore00,10.42.176.32,10.42.177.32,10.42.176.153,10.42.177.153,10.42.176.183,10.42.177.183,10.42.179.32,/vmfs/volumes/virt-gs2prod-cluster12-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster12,virt-gs2prod-cluster03-lun04
10.42.178.33,virt-gs2prod-cluster04-pm01,virt-gs2prod-cluster04-pm01.virt.onkakao.net,gs,virt-gs2prod-cluster04,virt-gs2prod-cluster04-pm01-datastore00,10.42.176.33,10.42.177.33,10.42.176.154,10.42.177.154,10.42.176.184,10.42.177.184,10.42.179.33,/vmfs/volumes/virt-gs2prod-cluster13-lun01/,VMware-ESXi-7.0U3m-21686933-depot,virt-gs2prod-cluster13,virt-gs2prod-cluster04-lun01
